Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-01-02,BPCL,EQ,635.5,640.0,644.75,637.4,639.95,640.5,640.89,1126768,72213891080000.0,23198,385204,0.3419
2017-01-03,BPCL,EQ,640.5,644.0,658.0,636.6,646.25,650.55,650.45,3157385,205371874400000.0,48157,1469059,0.46530000000000005
2017-01-04,BPCL,EQ,650.55,649.8,660.9,641.85,656.65,655.45,652.72,2785408,181810217640000.0,62989,1551408,0.557
2017-01-05,BPCL,EQ,655.45,654.5,674.45,653.0,674.0,672.7,666.97,2480499,165442174990000.0,78798,1529757,0.6167
2017-01-06,BPCL,EQ,672.7,671.0,681.0,661.55,664.25,664.85,669.12,1651118,110478845175000.0,45002,945415,0.5726
2017-01-09,BPCL,EQ,664.85,664.25,667.65,651.0,654.9,653.1,655.41,1173572,76917547235000.0,41576,669928,0.5708
2017-01-10,BPCL,EQ,653.1,659.75,676.0,658.3,659.55,660.3,666.92,1963249,130933765145000.0,43610,1053413,0.5366
2017-01-11,BPCL,EQ,660.3,662.0,666.0,654.7,661.2,660.9,660.0,1672905,110411746925000.0,35032,1005739,0.6012
2017-01-12,BPCL,EQ,660.9,662.0,668.7,657.15,661.0,659.3,661.1,1049093,69355757500000.0,30895,525557,0.501
2017-01-13,BPCL,EQ,659.3,664.9,664.9,651.0,659.15,657.65,656.37,1185483,77811487030000.0,28288,643021,0.5424
2017-01-16,BPCL,EQ,657.65,662.65,671.1,655.6,667.85,668.1,663.71,1311060,87016676615000.0,36202,697060,0.5317000000000001
2017-01-17,BPCL,EQ,668.1,669.95,672.45,662.05,663.05,664.95,666.52,879058,58591131400000.0,27380,313682,0.3568
2017-01-18,BPCL,EQ,664.95,664.1,664.15,650.3,656.45,655.45,656.36,2106126,138237746025000.0,67151,1278892,0.6072
2017-01-19,BPCL,EQ,655.45,657.1,676.7,654.1,674.0,673.9,669.98,1817843,121792510455000.0,40420,626235,0.34450000000000003
2017-01-20,BPCL,EQ,673.9,672.0,676.0,662.0,663.5,664.75,668.52,1363184,91131595290000.0,31393,465206,0.34130000000000005
2017-01-23,BPCL,EQ,664.75,662.0,682.0,661.5,676.35,677.05,675.69,1700482,114899122409999.98,46234,620814,0.3651
2017-01-24,BPCL,EQ,677.05,677.0,688.2,673.7,682.7,682.4,681.93,1855497,126531242070000.0,56006,1007065,0.5427000000000001
2017-01-25,BPCL,EQ,682.4,686.0,718.3,677.65,713.2,711.2,702.48,3631073,255075686219999.97,50319,1886063,0.5194
